21	0	0.146503	0.0298578	10.1	2.97079e-312	7
22	0	0.145486	0.0290809	10.5667	2.97079e-312	0
23	0	0.135756	0.0367514	10.9667	2.97079e-312	0
24	0	0.160972	0.0335437	11.4	2.97079e-312	0
25	4	0.135817	0.0323088	11.8	2.73333	0
26	0	0.13431	0.0327494	12.2333	2.97079e-312	0
27	0	0.134209	0.0312837	12.6333	2.97079e-312	0
28	7	0.132328	0.0359912	13.0667	4.6	0
29	4	0.156219	0.032535	13.4333	2.73333	0
30	0	0.16742	0.0312686	13.8	2.97079e-312	0
31	0	0.156517	0.0305627	14.1667	2.97079e-312	0
32	8	0.146808	0.0322139	14.5667	4.96667	0
33	5	0.126975	0.0278385	15	3.5	0
34	13	0.11041	0.032646	15.6333	7.53333	0
35	13	0.0873019	0.0271213	16.3667	7.53333	0
36	15	0.0783658	0.0315132	16.9667	8.36667	0
37	10	0.118552	0.0346509	17.5333	5.53333	0
38	11	0.0990901	0.032112	18.1333	5.9	0
39	16	0.112754	0.0309731	18.8333	8.73333	0
40	14	0.140494	0.035669	19.5667	7.1	0
41	16	0.114331	0.0340878	20.3	8.73333	0
42	19	0.10654	0.0392664	21	10.1	0
43	22	0.136984	0.0373675	21.6333	11.4	0
44	11	0.129441	0.0398138	22.3333	5.9	0
45	19	0.135122	0.037343	23	10.1	0
46	15	0.117691	0.0356432	23.6667	7.53333	0
47	14	0.114793	0.0392492	24.4	8	0
48	18	0.121757	0.0369206	25.0333	8.73333	0
49	24	0.128609	0.039046	25.7333	12.2333	0
50	27	0.119664	0.0407325	26.3667	13.4333	0
51	15	0.12349	0.0437244	26.9333	8.36667	0
52	29	0.125144	0.0420312	27.5	14.1667	0
53	24	0.127369	0.040954	27.9667	11.4	0
54	32	0.10331	0.0407526	28.5333	15.6333	0
55	16	0.12476	0.040328	29.0667	8.73333	0
56	17	0.131936	0.0389445	29.6	9.13333	0
57	26	0.137083	0.0380861	30.1	12.2333	0
58	17	0.146261	0.0349178	30.5333	9.13333	0
59	22	0.140664	0.038784	31.1333	10.5667	0
60	25	0.138814	0.0390345	31.6333	11.8	0
61	40	0.116846	0.0404991	32.2	21	0
62	41	0.126129	0.0440326	32.7333	20.3	0
