21	0	0.146503	0.0298578	7
22	0	0.145486	0.0290809	0
23	0	0.135756	0.0367514	0
24	0	0.160972	0.0335437	0
25	4	0.135817	0.0323088	0
26	0	0.13431	0.0327494	0
27	0	0.134209	0.0312837	0
28	7	0.132328	0.0359912	0
29	4	0.156219	0.032535	0
30	0	0.16742	0.0312686	0
31	0	0.156517	0.0305627	0
32	8	0.146808	0.0322139	0
33	5	0.126975	0.0278385	0
34	13	0.11041	0.0244835	0
35	9	0.0873019	0.0265523	0
36	9	0.0783658	0.0297831	0
37	10	0.118552	0.0346509	0
38	11	0.0990901	0.032112	0
39	9	0.112754	0.0300644	0
40	14	0.140494	0.035669	0
41	11	0.114331	0.0314455	0
42	6	0.10654	0.0374324	0
43	18	0.136984	0.0368476	0
44	11	0.129441	0.0398138	0
45	18	0.135122	0.0329414	0
46	15	0.117691	0.0356432	0
47	15	0.114793	0.0367066	0
48	18	0.121757	0.0369206	0
49	18	0.128609	0.0377216	0
50	13	0.119664	0.0355176	0
51	9	0.12349	0.0372026	0
52	18	0.125144	0.0369409	0
53	24	0.127369	0.040954	0
54	14	0.10331	0.0404491	0
55	25	0.12476	0.0348808	0
56	25	0.131936	0.0328668	0
57	26	0.137083	0.0380861	0
58	24	0.146261	0.0330661	0
59	22	0.140664	0.038784	0
60	25	0.138814	0.0390345	0
61	37	0.116846	0.0346186	0
62	41	0.126129	0.0440326	0
63	41	0.131672	0.0432308	0
64	39	0.130328	0.038065	0
65	44	0.106199	0.0434193	7
66	43	0.145408	0.0426055	0
67	42	0.142193	0.0410887	0
68	47	0.152262	0.0430296	0
69	47	0.13793	0.0410581	0
70	48	0.131447	0.042326	7
71	47	0.128743	0.0460411	0
72	45	0.14179	0.044845	0
73	50	0.118845	0.0510299	0
74	48	0.14642	0.045686	0
75	50	0.159259	0.0484531	0
76	44	0.143476	0.0374569	0
77	21	0.121241	0.0329316	0
78	43	0.131186	0.0376242	0
79	50	0.140424	0.0510373	0
80	17	0.152875	0.0424072	0
81	57	0.14872	0.039726	0
82	14	0.129139	0.0372463	0
83	60	0.13759	0.0384039	0
84	17	0.125244	0.045663	0
85	19	0.138709	0.0416332	0
86	24	0.142832	0.0342598	0
87	23	0.15928	0.0332817	0
88	0	0.127902	0.035318	0
89	22	0.0998207	0.038406	0
90	7	0.102086	0.0372796	0
91	25	0.116275	0.0311903	0
92	45	0.117303	0.0367061	0
93	15	0.128917	0.0346048	0
94	19	0.132934	0.0337184	0
95	18	0.108935	0.0365391	0
96	64	0.118097	0.0374289	0
97	18	0.129156	0.0432322	0
98	70	0.141128	0.0388438	0
99	73	0.139047	0.0362272	0
100	6	0.150488	0.0372953	0
101	73	0.163266	0.0373428	0
102	42	0.141084	0.0396823	0
103	74	0.147228	0.0445814	0
104	23	0.12578	0.0380494	0
105	64	0.123275	0.0383854	0
106	82	0.138758	0.0370795	0
107	28	0.154604	0.0361146	0
108	32	0.125328	0.0389025	0
109	24	0.153663	0.0337759	0
110	33	0.129998	0.0428831	0
111	35	0.131003	0.0381037	0
112	41	0.112422	0.0372592	0
113	36	0.127317	0.0381582	0
114	39	0.125616	0.038959	0
115	40	0.101449	0.0339604	0
116	47	0.101048	0.0355838	0
117	46	0.115544	0.0390101	0
118	47	0.12171	0.0466094	0
119	51	0.117278	0.0480474	0
120	54	0.138501	0.0413573	0
121	55	0.128366	0.0536898	0
122	61	0.119828	0.0431734	0
123	54	0.123641	0.041594	7
124	47	0.144422	0.0426516	0
125	56	0.137142	0.0452408	7
126	50	0.128724	0.0474338	0
127	60	0.109585	0.0456294	7
128	43	0.118384	0.0477188	0
129	51	0.136697	0.0445424	0
130	50	0.128881	0.0492869	0
